Product_ID,Product_Name,Category,Vendor,Vendor_Email,Vendor_Contact,Minimum_Required,Current_Stock,Unit,Warehouse,Unit_Price,Lead_Time_Days
P001,Helical Gear Type A,Gears,Sharma Industries,sharma@industries.com,+91-9876543201,120,112,Pieces,Delhi,480,7
P002,Bearing Race B,Bearings,Ravi Suppliers,ravi@suppliers.com,+91-9876543202,200,190,Pieces,Mumbai,180,5
P003,Clutch Shaft C,Shafts,Kumar Parts Co,kumar@partsco.com,+91-9876543203,150,35,Pieces,Pune,950,10
P004,Drive Shaft D,Shafts,Kumar Parts Co,kumar@partsco.com,+91-9876543203,100,72,Pieces,Pune,1120,9
P005,Spur Gear E,Gears,Mehta Components,mehta@components.com,+91-9876543204,180,170,Pieces,Delhi,420,6
P006,Ball Bearing F,Bearings,Ravi Suppliers,ravi@suppliers.com,+91-9876543202,500,485,Pieces,Mumbai,90,4
P007,Timing Belt G,Belts,Sharma Industries,sharma@industries.com,+91-9876543201,250,205,Pieces,Delhi,330,5
P008,Balancer Shaft X,Shafts,Kumar Parts Co,kumar@partsco.com,+91-9876543203,75,18,Pieces,Pune,1380,12
P009,Crankshaft A,Engine Parts,Bosch India,bosch@supplier.com,+91-9876543206,50,18,Pieces,Pune,5200,15
P010,Camshaft A,Engine Parts,TVS Components,tvs@components.com,+91-9876543207,60,44,Pieces,Delhi,2450,9
P011,Disc Brake A,Brakes,Brembo India,orders@brembo.com,+91-9876543211,180,175,Pieces,Delhi,1820,8
P012,Fuel Pump A,Fuel System,Denso India,denso@india.com,+91-9876543213,90,68,Pieces,Chennai,2200,9
P013,Radiator A,Cooling,Valeo India,valeo@supplier.com,+91-9876543214,70,52,Pieces,Pune,4200,10
P014,Starter Motor A,Electrical,Lucas TVS,lucas@tvs.com,+91-9876543218,60,42,Pieces,Delhi,3900,10
P015,ECU Control Unit,Electronics,Continental India,continental@supplier.com,+91-9876543220,35,12,Pieces,Pune,14500,18
